SupplierID,SupplierAddress,SupplierName,SupplierContactDetails,ProductID,CarMaker,CarModel,CarColor,CarModelYear,CarPrice,CustomerID,CustomerName,Gender,JobTitle,PhoneNumber,EmailAddress,City,Country,CountryCode,State,CustomerAddress,OrderDate,OrderID,ShipDate,ShipMode,Shipping,PostalCode,Sales,Quantity,Discount,CreditCardType,CreditCard,CustomerFeedback
484,821 Anhalt Junction,Skippad,433-14-4266,8594,Mitsubishi,Eclipse,Blue,1991,651029.95,36987-2212,Jessee Lidgely,Male,Internal Auditor,206-932-3656,jlidgelydf@disqus.com,Seattle,United States,US,Washington,60 Menomonie Drive,2018/08/04,55154-6027,2019/02/08,Standard Class,Air,98195,927879.16,2,0.58,jcb,3543931105703973,Bad
485,3 Hanson Park,Katz,724-07-7936,7121,Chevrolet,Camaro,Yellow,2002,635301.28,61715-118,Jackquelin Stradling,Female,Compensation Analyst,413-470-2585,jstradlingdg@un.org,Springfield,United States,US,Massachusetts,0740 Pine View Lane,2019/03/15,58118-0031,2019/03/31,Standard Class,Air,01152,818145.13,2,0.82,instapayment,6387987595682178,Bad
486,6 Stoughton Terrace,Pixonyx,846-34-1523,4575,BMW,X3,Blue,2008,573845.58,52810-411,Riordan Laise,Male,Account Coordinator,210-179-7686,rlaisedh@acquirethisname.com,San Antonio,United States,US,Texas,83328 Heath Avenue,2019/03/01,55926-0021,2019/04/04,Second Class,Truck,78285,801355.67,2,0.38,china-unionpay,56022280326320706,Very Bad
487,7209 Meadow Ridge Point,Quimba,676-34-4117,8395,Mercedes-Benz,E-Class,Puce,1985,620916.42,66993-902,Kennan Tumbelty,Male,Environmental Tech,202-494-5125,ktumbeltydi@com.com,Washington,United States,US,District of Columbia,74 Cordelia Road,2018/12/25,76436-204,2019/03/17,Second Class,Air,20530,935254.87,1,0.25,switch,6333139149499957,Okay
488,950 Monument Park,Zoonoodle,160-33-0424,4551,Citroën,CX,Pink,1989,535583.38,76439-218,Kristyn Kenrat,Female,Nurse Practicioner,203-952-7550,kkenratdj@patch.com,Waterbury,United States,US,Connecticut,7202 Burning Wood Way,2019/04/10,58232-0016,2019/06/12,Standard Class,Air,06705,853729.39,2,0.49,mastercard,5130685056087893,Bad
489,6 Fisk Street,Brightdog,879-63-7771,5199,Ford,Escape,Indigo,2013,515076.09,0703-7045,Nanni Pumfrett,Female,GIS Technical Architect,901-929-1160,npumfrettdk@theatlantic.com,Memphis,United States,US,Tennessee,4 Chinook Circle,2019/03/13,43353-815,2019/01/09,Standard Class,Air,38181,703557.26,2,0.34,jcb,3569496120292153,Very Bad
490,6 Carioca Alley,Jabberbean,445-17-2775,7786,Mercedes-Benz,CL-Class,Purple,2004,733882.58,21695-655,Woodie Leif,Male,Account Representative II,913-704-0217,wleifdl@time.com,Kansas City,United States,US,Kansas,25 Merry Road,2018/07/04,55111-220,2019/06/07,First Class,Truck,66160,880589.44,2,0.39,americanexpress,374288738574416,Very Bad
491,352 Monica Drive,Brightbean,281-57-4165,9981,Chrysler,Cirrus,Red,1999,704831.17,63323-086,Haven Piggen,Male,Payment Adjustment Coordinator,504-686-5984,hpiggendm@accuweather.com,New Orleans,United States,US,Louisiana,488 Del Mar Circle,2018/08/10,76329-3301,2019/01/01,First Class,Truck,70116,739988.12,1,0.5,jcb,3533593514393044,Good
492,9 Old Gate Pass,LiveZ,410-89-8997,4381,Honda,Odyssey,Orange,2004,751722.52,0363-8130,Wendi Kineton,Female,Structural Engineer,415-395-1335,wkinetondn@cdbaby.com,San Francisco,United States,US,California,8 Saint Paul Avenue,2019/03/31,76354-005,2019/04/06,Standard Class,Truck,94110,998562.82,2,0.63,mastercard,5523072804937726,Very Bad
493,9003 Armistice Lane,Brainbox,637-84-3768,5110,Kia,Rio,Pink,2006,500412.46,55305-116,Minnnie McGougan,Female,Recruiter,216-138-2762,mmcgougando@weather.com,Cleveland,United States,US,Ohio,0646 Buhler Park,2018/10/13,55289-816,2019/03/08,Standard Class,Air,44111,876223.90,1,0.28,visa-electron,4405474670048537,Very Good
494,7 Bowman Parkway,Blogtags,412-87-1556,5893,Toyota,Highlander,Purple,2009,719290.59,0268-1007,Rozella Bedboro,Female,Structural Engineer,925-100-6978,rbedborodp@huffingtonpost.com,Concord,United States,US,California,95 Stephen Avenue,2019/04/12,59779-930,2019/03/12,Same Day,Air,94522,786998.55,2,0.68,visa,4300795353640489,Okay
495,2208 Eagle Crest Center,Plajo,111-12-4129,6695,Chevrolet,Silverado 3500HD,Red,2006,653416.69,65966-001,Cindie Nanuccioi,Female,Payment Adjustment Coordinator,713-107-9541,cnanuccioidq@gravatar.com,Houston,United States,US,Texas,89363 Spaight Plaza,2018/07/12,0054-0243,2019/02/13,First Class,Truck,77040,950904.60,1,0.88,jcb,3578411262481695,Good
496,5 Forest Run Plaza,Twitterwire,530-82-7798,4289,Chrysler,300M,Maroon,2002,783490.19,51079-575,Joy Sandyford,Female,Help Desk Technician,603-531-5616,jsandyforddr@yahoo.co.jp,Manchester,United States,US,New Hampshire,94753 Kinsman Plaza,2019/05/07,54458-916,2019/04/24,First Class,Air,03105,776910.83,2,0.53,jcb,3560952140270685,Very Bad
497,03387 Sheridan Terrace,Jaloo,838-06-9578,4614,Buick,Regal,Pink,1992,507428.47,53877-006,Celene Hymas,Female,Account Representative I,918-693-8966,chymasds@uiuc.edu,Tulsa,United States,US,Oklahoma,9 Onsgard Point,2019/03/12,57520-0360,2019/01/15,First Class,Air,74126,958053.93,1,0.62,jcb,3569583162834297,Bad
498,72 Hauk Street,Abata,664-20-4806,9232,Maserati,GranTurismo,Aquamarine,2011,506473.26,0220-9346,Erin Martijn,Male,Research Assistant II,860-802-6981,emartijndt@wikispaces.com,Hartford,United States,US,Connecticut,288 Macpherson Court,2018/10/02,68258-3001,2019/06/15,Second Class,Air,06160,938507.65,2,0.86,jcb,3575068967793130,Okay
499,86314 Division Terrace,Babbleset,730-16-1616,5162,Buick,Skylark,Purple,1989,575307.81,66116-402,Dayle Newbatt,Female,Staff Accountant III,518-579-9906,dnewbattdu@privacy.gov.au,Albany,United States,US,New York,10691 Bay Road,2019/03/29,55312-332,2019/01/13,First Class,Truck,12227,885763.43,2,0.64,jcb,3558793414715334,Okay
500,25 Elgar Place,Browsebug,732-12-0593,3331,Ford,F350,Fuscia,2000,715560.89,61715-108,Duke Fruchon,Male,Junior Executive,614-597-0555,dfruchondv@etsy.com,Columbus,United States,US,Ohio,8905 Mccormick Center,2019/03/29,10477-2627,2019/01/20,Standard Class,Air,43284,898768.41,2,0.7,diners-club-enroute,201470819586217,Good
501,2843 Northview Street,Jatri,711-84-4357,2933,Dodge,Avenger,Blue,1997,733721.67,52033-001,Millard Corneille,Male,Dental Hygienist,202-263-8673,mcorneilledw@ucoz.ru,Washington,United States,US,District of Columbia,93 Hallows Circle,2019/01/09,0069-0079,2019/01/03,First Class,Air,20029,871622.99,1,0.85,jcb,3542167366157622,Bad
502,77331 Homewood Point,Teklist,509-94-2704,0012,Ford,Econoline E250,Fuscia,1999,674000.04,60505-0821,Waite Huckin,Male,Graphic Designer,713-499-2223,whuckindx@hao123.com,Houston,United States,US,Texas,903 Arapahoe Park,2019/02/26,41520-958,2019/06/09,Second Class,Air,77299,719980.57,2,0.56,visa,4041594275331,Bad
503,34 Calypso Drive,Topicshots,647-63-1621,3729,Toyota,Venza,Aquamarine,2012,604216.78,42507-374,Eldredge Sleath,Male,Tax Accountant,321-678-3924,esleathdy@google.co.jp,Palm Bay,United States,US,Florida,203 Delaware Trail,2018/08/29,52376-021,2019/03/03,Standard Class,Air,32909,913883.52,1,0.89,americanexpress,337941122086555,Good
504,8839 Basil Plaza,Twinte,734-37-3831,6696,Chrysler,Sebring,Pink,2007,559428.86,14783-099,Germaine Jarrard,Female,Director of Sales,904-417-8461,gjarrarddz@soundcloud.com,Saint Augustine,United States,US,Florida,7 Blackbird Place,2019/04/20,50580-134,2019/02/12,Same Day,Truck,32092,765754.69,2,0.63,bankcard,5602243041567725,Very Bad
505,8766 Carpenter Center,Quatz,403-14-8402,5029,Dodge,Ram 3500,Pink,1994,765576.50,68258-3032,Analise Pedley,Female,Compensation Analyst,515-897-1020,apedleye0@go.com,Des Moines,United States,US,Iowa,44675 Towne Hill,2019/01/28,0406-0367,2019/02/08,Second Class,Truck,50393,755200.23,1,0.33,laser,67061173168479632,Very Bad
506,44192 Harper Street,Viva,376-46-2741,4466,Maserati,Quattroporte,Green,2005,561692.04,36987-1519,Adolph Pedley,Male,Assistant Media Planner,785-900-4958,apedleye1@twitpic.com,Topeka,United States,US,Kansas,449 Anhalt Avenue,2019/01/31,33261-342,2019/04/25,First Class,Air,66617,855020.04,2,0.79,jcb,3578092603319156,Good
507,529 Mariners Cove Trail,Topicware,269-70-4570,4972,Ford,E250,Blue,2005,700110.90,21130-255,Modesta MacEntee,Female,Mechanical Systems Engineer,301-279-8740,mmacenteee2@npr.org,Rockville,United States,US,Maryland,7 Algoma Center,2018/11/14,0472-0911,2019/01/11,Second Class,Truck,20851,852020.36,2,0.63,instapayment,6386394944045804,Very Good
508,4590 Thierer Lane,Brightdog,254-67-4087,0402,Acura,Integra,Mauv,1998,781411.93,12830-739,Julina Rowcastle,Female,Design Engineer,630-767-5118,jrowcastlee3@examiner.com,Naperville,United States,US,Illinois,45 Farragut Parkway,2019/01/09,64024-970,2019/02/01,Second Class,Air,60567,865242.20,2,0.3,china-unionpay,56022176355067608,Bad
509,65 Kinsman Terrace,Lazzy,619-58-7371,9161,Honda,Accord,Maroon,1985,744236.27,49035-393,Jamal Attoc,Male,Account Representative III,303-948-0769,jattoce4@php.net,Denver,United States,US,Colorado,3079 Maple Wood Street,2019/03/30,54170-110,2019/04/20,Standard Class,Air,80262,985763.80,2,0.42,switch,6333605478437001593,Bad
510,75 Westridge Pass,Jaxworks,547-85-9847,8415,Volkswagen,GTI,Purple,1997,534452.20,63323-117,Jakie Shenton,Male,Media Manager II,704-971-9849,jshentone5@facebook.com,Charlotte,United States,US,North Carolina,6112 Schurz Alley,2019/04/26,63629-2882,2019/03/05,Second Class,Air,28299,771152.11,2,0.7,mastercard,5002359745626330,Okay
511,2862 Stephen Circle,Agimba,873-66-6061,8877,Mazda,MX-5,Puce,1990,666168.02,10586-9104,Max Doley,Female,Environmental Specialist,423-881-9277,mdoleye6@soundcloud.com,Chattanooga,United States,US,Tennessee,02 Bunting Street,2018/10/05,21130-296,2019/06/02,First Class,Truck,37450,957071.04,1,0.29,mastercard,5002354784712414,Very Bad
512,687 Brentwood Point,Gigashots,664-74-0625,4240,Nissan,240SX,Turquoise,1995,535141.14,0069-6001,James Tripcony,Male,Physical Therapy Assistant,504-625-6875,jtripconye7@github.io,New Orleans,United States,US,Louisiana,345 Susan Center,2018/08/30,0955-1041,2019/01/08,Standard Class,Air,70187,716008.74,1,0.89,jcb,3567237233574612,Okay
513,915 Lakeland Center,Babbleblab,850-08-6675,9136,Saab,9-5,Aquamarine,2011,673180.95,61699-4888,Gael Yurov,Female,Business Systems Development Analyst,702-781-1307,gyurove8@cmu.edu,North Las Vegas,United States,US,Nevada,5584 Russell Road,2018/12/27,64720-321,2019/04/25,Same Day,Air,89036,756463.73,1,0.35,jcb,3587660857297788,Very Bad
514,5031 Bluestem Circle,Quimba,135-43-7540,0069,Audi,Allroad,Aquamarine,2005,668880.58,64942-1305,Michaelina De Hooch,Female,Marketing Assistant,909-618-8876,mdee9@nih.gov,Riverside,United States,US,California,34312 Anthes Lane,2019/03/21,41167-0031,2019/04/29,Standard Class,Truck,92505,958022.53,1,0.36,jcb,3565654731072901,Okay
515,6887 Basil Circle,Voonix,547-76-0965,3753,Volvo,XC60,Purple,2012,739155.30,49288-0591,Becka Barlass,Female,Teacher,404-602-8109,bbarlassea@jugem.jp,Atlanta,United States,US,Georgia,0 Fisk Point,2018/11/30,11822-0542,2019/03/31,Standard Class,Truck,30368,700480.52,1,0.29,diners-club-carte-blanche,30353235322259,Very Good
516,10788 Cody Alley,Twitterbeat,881-02-8632,1031,Buick,Century,Purple,2002,709582.06,54868-1590,Kaela O'Doireidh,Female,Product Engineer,360-671-2653,kodoireidheb@weebly.com,Vancouver,United States,US,Washington,0 Sunnyside Alley,2018/09/04,43742-0087,2019/02/06,First Class,Air,98682,829557.30,1,0.5,jcb,3528414217357839,Okay
517,473 Norway Maple Terrace,Meetz,306-07-7616,7882,Mercury,Capri,Pink,1986,702527.30,68788-9203,Lazaro Gouinlock,Male,Project Manager,916-833-8515,lgouinlockec@bloglines.com,Sacramento,United States,US,California,292 Crowley Hill,2019/01/11,41250-829,2019/05/07,First Class,Truck,94286,892599.94,1,0.44,maestro,6761078875163299,Very Good
518,048 Packers Avenue,Jazzy,593-82-9122,2242,Saab,9-3,Green,2005,783661.39,59572-205,Pearla Aspland,Female,Nuclear Power Engineer,202-186-6508,pasplanded@delicious.com,Washington,United States,US,District of Columbia,4160 Northwestern Hill,2018/10/25,60512-1017,2019/03/13,Standard Class,Air,20088,832080.27,2,0.72,mastercard,5249405223756298,Bad
519,9 Aberg Alley,Realbridge,680-20-3768,0058,Chrysler,Pacifica,Yellow,2004,611128.05,51808-210,Ashton De Mattei,Male,Chief Design Engineer,518-108-0398,adeee@flavors.me,Albany,United States,US,New York,65 Alpine Terrace,2018/11/12,59779-620,2019/02/03,First Class,Truck,12210,921035.98,1,0.44,diners-club-carte-blanche,30351012550936,Very Good
520,469 Waxwing Park,Vimbo,252-27-6855,3785,Dodge,Ram Van 2500,Teal,2003,592129.56,63739-805,Rita Breakwell,Female,Assistant Professor,205-592-2534,rbreakwellef@dropbox.com,Birmingham,United States,US,Alabama,0817 Scott Street,2019/04/27,48433-311,2019/04/29,First Class,Truck,35279,817508.04,1,0.52,mastercard,5100174476408779,Good
521,513 Logan Pass,Eabox,193-66-4084,5021,Mitsubishi,Excel,Indigo,1989,723731.51,42602-003,Vanya Conwell,Female,Quality Engineer,440-528-3723,vconwelleg@forbes.com,Cleveland,United States,US,Ohio,9178 Talmadge Parkway,2018/07/30,67938-0942,2019/02/10,Standard Class,Air,44125,732820.42,2,0.78,diners-club-enroute,201674596320746,Good
522,3 Kipling Road,Topicshots,528-53-6691,6561,Mazda,Protege,Teal,1998,560565.94,0220-9081,Katusha Benet,Female,Staff Accountant IV,412-634-3631,kbeneteh@unc.edu,Pittsburgh,United States,US,Pennsylvania,798 Parkside Alley,2018/07/24,43742-0343,2019/01/15,First Class,Truck,15240,941817.29,2,0.73,jcb,3565038261172465,Bad
523,9 Hermina Junction,Youopia,729-36-2041,8866,Mercedes-Benz,M-Class,Red,1998,653470.84,50242-075,Harwilll Scallon,Male,Sales Associate,862-571-4694,hscallonei@goodreads.com,Paterson,United States,US,New Jersey,63 Stang Alley,2018/10/29,13537-220,2019/02/26,Same Day,Air,07544,740237.44,2,0.64,jcb,3557258751512067,Very Bad
524,424 Debra Center,Aibox,865-42-1286,9317,Subaru,Forester,Red,2007,530257.82,49349-677,Retha Couzens,Female,Environmental Tech,937-136-1689,rcouzensej@google.com.hk,Dayton,United States,US,Ohio,2 Jenna Alley,2019/04/26,0395-1213,2019/04/09,Second Class,Truck,45408,803378.01,1,0.75,bankcard,5602242989305825,Bad
525,03400 Armistice Lane,Twimbo,642-85-8473,4641,Mazda,B-Series Plus,Blue,1996,691121.91,52959-009,Orelle Dibb,Female,Web Developer II,843-664-1270,odibbek@4shared.com,Beaufort,United States,US,South Carolina,57163 Rieder Circle,2018/09/22,75887-003,2019/01/10,Second Class,Air,29905,792237.37,2,0.89,jcb,3586938763243091,Very Bad
526,8 Rowland Crossing,Gabcube,768-57-3316,8473,Mazda,Miata MX-5,Crimson,2008,689817.44,54569-1155,Siward Stainton - Skinn,Male,Statistician I,407-575-8746,sstaintonel@mac.com,Orlando,United States,US,Florida,30499 Spohn Avenue,2019/02/17,41520-114,2019/03/26,Second Class,Truck,32835,931525.87,2,0.32,americanexpress,337941732145171,Very Bad
527,71947 Farwell Place,Yabox,179-12-3107,0050,Chevrolet,Bel Air,Goldenrod,1967,540948.38,43857-0023,Ric Limbert,Male,Director of Sales,904-875-1436,rlimbertem@usgs.gov,Jacksonville,United States,US,Florida,254 Shopko Trail,2019/02/02,0591-3964,2019/05/22,Second Class,Truck,32259,796675.88,1,0.84,maestro,67612881727144141,Very Bad
528,25888 Scoville Street,Midel,407-25-1568,3143,Plymouth,Laser,Crimson,1989,610866.90,60681-1002,Sisile Jammet,Female,Community Outreach Specialist,209-630-9698,sjammeten@reference.com,Visalia,United States,US,California,7 Stoughton Court,2018/10/01,55711-070,2019/04/24,First Class,Air,93291,899138.27,2,0.74,americanexpress,374283449190479,Bad
529,8372 Farwell Junction,Quatz,328-35-3520,4561,Pontiac,Sunfire,Pink,2004,629947.59,68682-004,Kynthia Kettlesing,Female,Technical Writer,574-972-1049,kkettlesingeo@auda.org.au,South Bend,United States,US,Indiana,89409 Sherman Terrace,2018/07/13,48951-2084,2019/01/11,Standard Class,Air,46614,749736.46,2,0.9,bankcard,5602242208288828,Very Good
530,61489 Mcguire Parkway,Oyoba,569-07-4332,3925,Ford,Edge,Khaki,2009,777418.65,0904-6191,Conrado Van der Daal,Male,Editor,513-822-7045,cvanep@webmd.com,Cincinnati,United States,US,Ohio,1941 Pine View Lane,2018/09/04,0054-8528,2019/01/13,First Class,Air,45296,795709.75,1,0.63,jcb,3549602108057667,Okay
531,6353 Green Avenue,Jayo,213-30-7079,1351,Mazda,MPV,Green,1990,524531.89,52810-212,Rainer Donaway,Male,Recruiter,405-499-0654,rdonawayeq@indiegogo.com,Oklahoma City,United States,US,Oklahoma,2864 Golf Hill,2018/12/07,63459-201,2019/03/03,Standard Class,Truck,73167,770851.96,1,0.44,americanexpress,337941746844413,Good
532,626 Clyde Gallagher Terrace,Flipstorm,413-89-0621,5599,Audi,A3,Violet,2012,674456.59,51672-1271,Inger Sellan,Female,Senior Financial Analyst,941-236-7604,isellaner@mail.ru,Bradenton,United States,US,Florida,70718 Forest Place,2019/05/06,52125-574,2019/04/15,Same Day,Air,34210,841175.73,1,0.5,switch,6331100562883493828,Very Good
533,09 Mosinee Road,Dynabox,296-82-0168,5900,Lotus,Elise,Goldenrod,2009,518657.83,10544-151,Amata Dell,Female,Editor,806-764-4623,adelles@macromedia.com,Lubbock,United States,US,Texas,39 Kingsford Alley,2018/12/14,10096-0258,2019/02/08,Standard Class,Truck,79405,908650.52,2,0.3,jcb,3570567253298030,Bad
534,272 Elmside Street,Flipbug,178-72-5871,3429,Suzuki,Vitara,Yellow,2002,546296.85,11822-6101,Tonya Tidball,Female,Occupational Therapist,561-287-4093,ttidballet@biblegateway.com,Boca Raton,United States,US,Florida,49 Blue Bill Park Parkway,2019/05/30,44523-603,2019/04/30,Second Class,Air,33432,838528.58,2,0.4,laser,6706576250292532,Okay
535,95 Vera Park,Myworks,212-40-8303,3481,Pontiac,Trans Sport,Goldenrod,1991,600871.41,51655-102,Karim Rosevear,Male,Cost Accountant,417-977-7996,kroseveareu@furl.net,Springfield,United States,US,Missouri,5 Prairie Rose Lane,2019/05/29,63323-127,2019/03/08,Same Day,Truck,65805,796593.13,1,0.7,jcb,3560210077289347,Very Bad
536,68 Eastwood Way,Cogilith,741-55-2529,5369,Dodge,Intrepid,Goldenrod,2002,594583.10,0409-3213,Lea Wernham,Female,Chemical Engineer,843-953-4690,lwernhamev@businessinsider.com,Florence,United States,US,South Carolina,2 Coleman Plaza,2019/06/10,68737-226,2019/04/08,Standard Class,Truck,29505,896621.53,1,0.39,jcb,3577307886582978,Bad
537,881 Arizona Court,Trudeo,770-12-9213,2779,Mitsubishi,Raider,Crimson,2009,660245.46,50114-8500,Berkeley Roz,Male,Legal Assistant,313-711-6183,brozew@homestead.com,Detroit,United States,US,Michigan,355 Vernon Alley,2018/07/25,0268-1138,2019/05/06,First Class,Truck,48217,732441.62,1,0.8,mastercard,5340971970948162,Okay
538,8 Becker Crossing,Blognation,126-13-2125,7704,Volvo,C30,Turquoise,2009,748409.41,33237-002,Christin Shottin,Female,Product Engineer,714-952-3051,cshottinex@posterous.com,Anaheim,United States,US,California,84726 Onsgard Way,2018/11/13,24385-054,2019/06/12,Standard Class,Air,92812,780766.03,1,0.46,jcb,3539817071605662,Very Good
539,30193 Arapahoe Trail,Kwimbee,578-83-2676,2799,Volkswagen,Jetta,Yellow,1987,741224.47,55154-2734,Car Gerwood,Male,Recruiting Manager,850-405-8579,cgerwoodey@gizmodo.com,Tallahassee,United States,US,Florida,47 Mifflin Way,2018/07/27,60793-130,2019/01/10,First Class,Air,32399,938479.84,2,0.27,maestro,589395507384263454,Very Good
540,94 Doe Crossing Point,Quimba,474-35-5497,0118,Suzuki,Sidekick,Puce,1997,573481.77,67296-0470,Tammi Hurch,Female,Health Coach I,702-484-8672,thurchez@home.pl,Las Vegas,United States,US,Nevada,9 Briar Crest Street,2019/05/11,50383-063,2019/01/31,First Class,Air,89140,706633.15,2,0.8,visa,4371127815646,Very Good
541,59 Helena Park,LiveZ,714-07-9190,3764,Oldsmobile,Cutlass Supreme,Teal,1993,608535.16,37012-484,Rockwell Cresser,Male,Assistant Manager,828-669-4882,rcresserf0@mediafire.com,Asheville,United States,US,North Carolina,11749 Dovetail Junction,2018/07/12,65862-134,2019/06/17,First Class,Truck,28805,869402.01,1,0.89,visa-electron,4844003622291108,Good
542,4299 Dorton Crossing,Abatz,694-21-0235,3403,Chevrolet,Express 3500,Yellow,1996,760883.96,11527-163,Mateo Reolfi,Male,Compensation Analyst,812-832-2160,mreolfif1@jimdo.com,Jeffersonville,United States,US,Indiana,03655 Basil Road,2018/11/11,57520-0503,2019/04/24,Second Class,Truck,47134,744912.09,2,0.31,jcb,3571653942136333,Very Good
543,1 Welch Point,Fiveclub,719-53-5670,304,Lexus,ES,Blue,2002,620925.48,0185-0128,My Leneve,Male,Design Engineer,316-400-2858,mlenevef2@spotify.com,Wichita,United States,US,Kansas,4 Jana Road,2018/12/22,62037-938,2019/02/05,Standard Class,Air,67220,935182.86,2,0.59,jcb,3550343470302615,Okay
544,406 Montana Parkway,InnoZ,844-80-9527,2371,Toyota,Solara,Yellow,2003,796767.55,36987-2792,Karee Richemond,Female,Paralegal,818-857-6971,krichemondf3@nih.gov,Van Nuys,United States,US,California,05 Maple Court,2019/01/30,0067-6025,2019/01/02,Same Day,Truck,91411,795237.45,2,0.37,diners-club-enroute,201426780478966,Bad
545,2948 Loftsgordon Parkway,Oba,157-64-6315,3775,GMC,3500 Club Coupe,Purple,1994,552464.54,0113-0973,Becky Karppi,Female,Account Executive,347-898-2504,bkarppif4@omniture.com,Brooklyn,United States,US,New York,88 Toban Road,2019/03/09,16590-609,2019/06/08,Standard Class,Air,11241,922429.28,1,0.72,instapayment,6393196756996722,Okay
546,278 Toban Drive,Innotype,129-25-1741,4623,Volvo,V90,Indigo,1997,770234.37,58118-1260,Fanechka Fant,Female,Account Representative I,415-678-8058,ffantf5@paypal.com,San Francisco,United States,US,California,137 Karstens Crossing,2019/01/27,64117-250,2019/02/02,Standard Class,Air,94169,957463.31,1,0.59,jcb,3586398722007956,Good
547,2 Center Road,Avamm,472-69-6959,8706,Isuzu,Hombre,Fuscia,1999,763156.52,60512-2015,Abdel Trathan,Male,Information Systems Manager,302-787-5308,atrathanf6@dailymotion.com,Wilmington,United States,US,Delaware,7 Maryland Parkway,2019/01/17,45802-283,2019/01/14,First Class,Truck,19892,898723.16,1,0.85,maestro,5018993523376130,Very Bad
548,89 Killdeer Road,Skivee,137-70-2218,4519,Ford,Aspire,Goldenrod,1994,628831.35,63010-011,Gabrielle Scrivenor,Female,Research Associate,808-718-2077,gscrivenorf7@amazon.co.jp,Honolulu,United States,US,Hawaii,2289 Darwin Center,2019/05/02,14720-372,2019/01/26,Second Class,Truck,96845,931999.99,1,0.41,mastercard,5259091223158862,Okay
549,8 Center Way,Meejo,429-99-0447,5292,Mazda,Miata MX-5,Maroon,2002,711760.55,37808-351,Jocelyn Tatlock,Female,Compensation Analyst,917-172-2218,jtatlockf8@scientificamerican.com,New York City,United States,US,New York,1937 International Road,2018/12/29,0113-2476,2019/04/30,Same Day,Truck,10155,740283.16,1,0.74,jcb,3549888601040355,Good
550,30 Brickson Park Street,Dabjam,649-52-8302,0754,Dodge,Durango,Maroon,2009,703519.17,60429-323,Missy Powland,Female,Administrative Assistant II,256-527-2391,mpowlandf9@slate.com,Huntsville,United States,US,Alabama,587 Nelson Trail,2018/06/30,43063-407,2019/01/27,Second Class,Air,35815,911847.09,1,0.72,jcb,3588651123343257,Bad
551,5 Myrtle Junction,Trupe,237-34-5520,5593,Jeep,Grand Cherokee,Orange,2010,579570.63,59351-0333,Malanie McIlroy,Female,VP Accounting,510-255-4514,mmcilroyfa@dropbox.com,Sacramento,United States,US,California,20 Sloan Parkway,2019/03/11,36987-1216,2019/04/07,Standard Class,Air,95823,924010.00,1,0.56,switch,4911425501491326847,Very Bad
552,61766 Eagle Crest Trail,Jaxnation,392-09-9670,7937,Volkswagen,GTI,Turquoise,1997,761039.81,52685-454,Linn Gaythwaite,Male,Quality Engineer,915-896-6974,lgaythwaitefb@npr.org,El Paso,United States,US,Texas,81781 Ridge Oak Terrace,2019/01/29,68001-133,2019/02/24,Second Class,Truck,79911,817701.54,1,0.37,jcb,3589215062893257,Good
553,1388 Emmet Point,Avaveo,204-59-9604,5824,Lexus,IS-F,Green,2012,544052.09,0002-4465,Minerva Noir,Female,Safety Technician II,317-472-9307,mnoirfc@mlb.com,Indianapolis,United States,US,Indiana,8958 Glacier Hill Crossing,2019/05/23,10742-8368,2019/06/17,Same Day,Air,46221,797957.33,1,0.27,jcb,3545633302688449,Good
554,7477 Anderson Crossing,Babbleopia,471-08-6486,8876,Infiniti,Q,Orange,2001,757878.29,63187-087,Eveleen Rittelmeyer,Female,Professor,602-153-9389,erittelmeyerfd@hao123.com,Phoenix,United States,US,Arizona,8920 Kings Drive,2019/01/18,54868-4381,2019/06/08,First Class,Truck,85053,843930.47,2,0.75,maestro,50184374100823659,Very Good
555,72410 Reinke Alley,Kare,738-05-0868,8269,Suzuki,Kizashi,Red,2011,643784.73,41520-873,Norine Harris,Female,Assistant Professor,407-911-1873,nharrisfe@house.gov,Orlando,United States,US,Florida,434 Raven Center,2018/12/30,37808-431,2019/01/13,Second Class,Air,32835,725006.81,2,0.68,maestro,060486642764727661,Bad
556,1 Meadow Valley Court,Kaymbo,561-72-9421,1229,Chevrolet,3500,Mauv,1993,714010.10,68391-306,Myer McQuilliam,Male,Automation Specialist III,202-918-0251,mmcquilliamff@ning.com,Washington,United States,US,District of Columbia,6 Anthes Parkway,2018/10/19,35356-173,2019/02/15,Standard Class,Air,20220,989798.81,2,0.4,maestro,6763277408974254607,Okay
557,957 Petterle Way,Layo,775-69-0274,1724,Volvo,V40,Orange,2002,599234.27,49349-336,Beverley Elstub,Female,Senior Developer,202-757-0920,belstubfg@tinyurl.com,Washington,United States,US,District of Columbia,9 Amoth Court,2018/07/18,0378-0344,2019/01/14,Standard Class,Air,56944,955661.07,1,0.29,americanexpress,374622851212158,Good
558,9037 Bonner Drive,Babbleopia,361-46-9281,9545,Volvo,C70,Turquoise,2008,524051.85,10812-604,Hewet Stithe,Male,VP Quality Control,410-730-9421,hstithefh@smugmug.com,Baltimore,United States,US,Maryland,4157 Forest Dale Place,2018/07/26,0378-2017,2019/03/29,First Class,Truck,21265,779769.27,1,0.58,jcb,3553495065869601,Good
